timestamp,elapsed_time_s,event,commanded_downward_displacement_m,commanded_downward_displacement_mm
2026-07-15T15:31:38.339,0.000,initial,0.000000,0.000
2026-07-15T15:31:38.339,0.000,step_1,0.001000,1.000
2026-07-15T15:31:43.341,5.003,step_2,0.002000,2.000
2026-07-15T15:31:48.347,10.008,step_3,0.003000,3.000
2026-07-15T15:31:53.351,15.012,step_4,0.004000,4.000
2026-07-15T15:31:58.356,20.017,step_5,0.005000,5.000
2026-07-15T15:32:03.361,25.022,step_6,0.006000,6.000
2026-07-15T15:32:08.365,30.027,step_7,0.007000,7.000
2026-07-15T15:32:13.370,35.031,step_8,0.008000,8.000
2026-07-15T15:32:18.375,40.036,step_9,0.009000,9.000
2026-07-15T15:32:23.380,45.041,step_10,0.010000,10.000
2026-07-15T15:32:28.385,50.046,step_11,0.011000,11.000
2026-07-15T15:32:33.389,55.051,step_12,0.012000,12.000
2026-07-15T15:32:38.394,60.056,step_13,0.013000,13.000
2026-07-15T15:32:43.399,65.061,step_14,0.014000,14.000
2026-07-15T15:32:48.402,70.063,step_15,0.015000,15.000
2026-07-15T15:32:53.407,75.068,step_16,0.016000,16.000
2026-07-15T15:32:58.412,80.073,step_17,0.017000,17.000
2026-07-15T15:33:03.413,85.074,step_18,0.018000,18.000
2026-07-15T15:33:08.418,90.079,step_19,0.019000,19.000
2026-07-15T15:33:13.423,95.084,step_20,0.020000,20.000
